id, name
32897995,7opy
32099752,30年前，50年后
97382046,勇的波涛
33916406,soldier
29938303,岳燃
12606242,8bite
34036614,梶
12025631,2-DO
56381841,余-AcoLasia
95579052,韩
60249207,不要杀死我的爱
31250400,#0000FF
12641108,99PERCENT
13286745,еяхат музыка
12923277,13FlowMic
34199122,808Monster
13285507,元
35954968,1CEKary艾斯凯瑞
12954319,-艾兜
59099939,7wiz
30546314,Dyrox
60892689,DJTmix
13524040,杜逸风 Firewind SoKu
37444918,魔动闪霸
15060505,89DX
29776428,李昀锐
56055038,款式
61916618,DJ屿
12782624,4D
13500447,ØZI
37115071,饭卡
57314213,安徽純愛王
13200392,DANNY K
97459882,7YE
95849290,杰
49087282,4AGX
52475130,忆.
32541931,828
28420071,舵Diverseddie
35252293,Drew Kent
12553076,眠
58157565,08Tc.
12789009,OLD
37090264,27Mask
32602712,61 Topi
33305848,.Laom
96210216,蓝爵醺调
13794625,51L
47962768,川
61655634,小狱
98205531,霏
30707819,koos
51705957,3rq
57985361,DJ阿彪
12464050,4_Chords
12538624,达桑嘉措
13906262,1K
36894665,丁嘉文
31763792,24Bucks
47611127,8Y1ar
12643355,947.ASH
35724488,каᴅiʀ музыка
98086314,4sk
46358102,宁云凡
95498516,楠
49303847,雾秋花
32505436,小恶魔
46356020,Jesse Margiela
53481708,烬挽風
13413199,韩泪玉
98490515,c
13528284,10keys beats
53181320,宅
27728307,水鬼
30143552,王太利
12200178,21st Century Schizoid Man
30962717,杨继森
30602265,4Hunnid
47910705,Xy
34200362,8Rafrain
37675238,9OVE
34613611,KIVBILBOI
57368203,kossestu
50843836,岸祎
57165674,4ever style
30648241,10Yil
28411430,3FAD倪子涛
60724879,宅
59601826,痕
34097618,劉辰羲
13132656,71
31058491,四熊4OurBear
32899508,5Twink
33710719,7even Jaris
49594972,Myling
33347250,寂
12002030,TSUNANO
94209119,7YyxA
30981494,周翊然
57064025,不爱楠好难
12198387,艾志恒Asen
30116848,阿冗
58160751,DJ阿布
29235210,Aioz
12002184,AR刘夫阳
1203045,艾热 AIR
31093891,阿虾
1198010,暗杠
12174057,艾辰
1876,阿杜
97863733,A12
33347494,阿彻
30709773,Abdulla Abdurehim 阿不都拉
1087200,AThree
12127564,艾福杰尼
35234177,Ahmatjan-Ebrayim
12259037,AniFace
33914952,Arkin-Kiram
33203460,Badynow
12875936,康熙
53562005,安洛贤
34586522,米兰Music
48045511,APMOZART
31335978,安扬August
50646837,akulamatata
56856113,Azeri
30436301,Adoreya
47702826,阿萨Aza
28387245,种一捧玫瑰
34659452,AFMC黑子
1881,阿木
12367021,AlimjanHasan
31093298,阿'Quan
12288442,AnsrJ
12200490,阿云嘎
34497720,AnwarTurak
33907802,4444
59661028,DJ榜单
27725293,Alfar-MutalliP
52691288,Ahmatjan Ruzi
36707011,arou
30545714,V1ed
59291895,DJ阿衡
32897453,Ali Eminjan
12226931,Ablikim·Enwar
35946228,AZ啊之
1877,阿牛
12328044,Ash-1
58768283,艾君子
10998,爱乐团王超
12537035,仁辰
2422,阿鲲
1879,安琥
34373745,Adiljan Zaynidin
12226106,艾尔肯-Erkin Abdulla
61029981,A s h
13911452,ATM Hanson
1012032,艾岩
32506086,艾纳德
34150148,阿森
98606293,17岁
1160065,Alim-ablat
12461889,安朕宇
1132222,AbduwaliTohti
36617333,Arkin Abdureyim
48437359,萌妹杀手
55878316,Ablat Tursunbaki
98584322,Abduxukur-Obul
964311,阿良良木健
96350327,As
94749289,DJ阿豪
60233041,爱缘
34290431,Abdukerim Abliz
59049660,Ani阿尼
32829310,阿斯罕
98371861,爱唱歌的理综
35516167,AnRain安林
31310504,艾斯
12025486,Ablajan Awut Ayup
1208037,Abletjan Ablikim
1196052,俺酱
12606255,阿拉梅
30002266,Abdusalam Emamhasan
33909395,anwar hakim
53184558,XiRXG
60588449,AUrora
46441717,Alston
187295,Assen捷
60099411,你猜我是谁
49893022,Abduwali-Music
98904055,Abduxukur Obul
34821168,AREZ
37092361,Aini
34319996,Alvin艾尔文
36179875,A.L.T来特
1158046,A-Mac
30216251,Abliz-Mamat
32896342,阿然
61451510,阿先森
98606581,阿樂
30109388,贝乐虎
12084497,宝石Gem
48277407,BOBBYNOPEACE
12356407,白小白
32645255,暴躁的兔子
12138038,BT07
31876221,柏松
2066,伯爵Johnny
49513266,bk
12357533,冰幽
12493701,布瑞吉Bridge
52999355,Brian Cheng
12464053,巴音汗
1039011,Bilal Enwer
12227290,BigYear大年
12553373,布鲁昔
33322228,BOY
13791519,BlueLee
12059049,Bohan 冷博涵
1047238,白挺
31915294,BLACKDD
51786095,BALLINLAB
909029,白举纲
12360120,BABYKUSH
94382457,BabyBAKO
12817024,白静晨
32675488,拜德盖Viigho
12056024,Birck
52060002,DJAN
32617538,DJ小辞
59801596,Bsh-1
34662996,柏鹿
13006186,巴顿
46961417,北夜
35244903,空屿7hz
49742579,59Burst
12373037,Babystop_山竹
97224894,八陆八
12094558,Buzzy
37005737,巴鲁斯
14016562,Bahtiyar-Tayir
31229236,不够
33576363,B.T.M
12041068,白敬亭
49588645,北昼
37588876,BoxerEven
47062212,AhHang
30001054,Badago吧嗒
30955739,白玉扎西
12523451,BrAnTB白景屹
54957934,Kotoma
13608325,Bomb比尔
36290882,Bater official
1204020,不凡
1085053,变奏的梦想
57469771,小表哥
49510340,BDnoLuv
12999040,BigM大明
31633639,伯远
94407005,B.D
51289644,xJ6
31962859,不知名选手Au
36706921,刘槟畅
59833870,账号已注销
52794659,North
35299792,Bahtiyar
52652468,BK
62183792,来去散无痕
52260432,Billowing
36181457,Alex LAN
13282580,不二DoubleD
31162853,beatsbyaura
13058487,毕雯珺
34426247,栗紫锐
51130553,Lucky
12085017,BLOWFEVER
31310265,BlackC
52798178,边缘
59915634,菠萝炒饭
55812088,布和笛箫
32501012,Billionhappy
34199516,BaoUner
60425467,不薆說話
31094049,布朗尼
98698992,Brooks Sylvan Tang
53544603,Skins
47963861,San
36124933,bloodysicko
34577457,Windapaper
14807229,八口8uck
95011269,不见故人归
35026792,V在燃烧
51049796,恶小意
97310473,BlackwingFK
34645576,饼饼BingBing
12091076,白宇
12275235,白止
12466885,BroFA
30956407,Bramble
58999184,白毛毛
2116,陈奕迅
12932368,蔡徐坤
2124,陈楚生
12193174,Capper
2112,陈小春
32893629,陈一豪Clear
34516758,CashMoon
33937972,CashTrippy
2127,陈柏宇
2110,曹格
34172520,C.HØPE
37058226,沧桑Cang333
12157336,CMJ
2122,陈冠希
33950085,承桓
14608268,Corki刘宗鑫
1149014,厨房仔
12286056,褚晨茜
52637913,Tiko
28083351,CORSAK胡梦周
1159101,c0de731
60207593,SENKEI
1058228,陈鸿宇
963431,陈致逸
29234568,陈亦洺
2115,陈百强
94393489,程奎
13056440,陈立农
34443310,李晨曦Chrisulous
33191836,方程
53511292,俺真困
34318335,陈越龙
2201,陈势安
94892952,Happy
29414807,陈冬霖
2159,曹轩宾
2118,成龙
36077661,川川
12131566,王云 Cloud Wang
2117,侧田
36109845,CHOCKEY有三
32264375,从和文
12276430,Cubi
62197835,崔十八
2164,陈伟霆
33390699,潮音铭帝
57429161,Chill5
32438941,cLoner23
1142012,Cole先生
189955,蔡翊昇
2331,陈翔
37088606,裁缝铺
34489282,迟里乌布
34319290,离合
32550470,曹雨航
14420803,陈雪燃
12579164,程莫
727005,陈赫
30377220,陈麒名
12519065,程安
33908640,Choco
2150,陈冠蒲
12174110,崔开潮
